,MFCC,Centroid,Rolloff,Flux,Zero Crossing Rate,OSC,Low Energy,OMSC,MSFM,MSCM,Genre
195,"[ 0.21744387 -0.22232917  0.21250751 -0.05704361  0.07470136  0.06641184
  0.16806403  0.04699319  0.15588091  0.03283343  0.05796246 -0.07987947
  0.00441565  0.04169639  0.0856094 ]",0.013954717604337122,0.0118896484375,3.6653842018080697e-06,0.008642578125,"[-0.30976679 -0.37119892 -0.44904298 -0.47054423 -0.48996934 -0.50326838
 -0.50008092 -0.55773353 -0.65584738  0.04611023  0.08068959  0.10353909
  0.12334878  0.17907243  0.15478465  0.14568894  0.13264237  0.15455983]",5.46875,"[-0.50234794  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.47054313 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[17.58215792  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
196,"[ 0.16417245 -0.2907411   0.1537597  -0.09195219  0.04756044 -0.07079288
  0.07997023 -0.08595971  0.04372964 -0.06653156  0.05284718 -0.05271319
 -0.00624139 -0.08365554 -0.02850922]",0.017245841109828526,0.017284393310546875,3.16802262435303e-05,0.010196685791015625,"[-0.34065827 -0.31317225 -0.34950926 -0.34535545 -0.34821343 -0.35900145
 -0.36974705 -0.4259325  -0.56722457  0.04867072  0.15589451  0.11688198
  0.1320675   0.12422502  0.12283475  0.11805547  0.11632774  0.18875835]",5.15625,"[-0.04946975  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.50379555 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[17.08700985  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
197,"[ 0.15481075 -0.2722496   0.05297904 -0.10438767  0.01676595 -0.06247852
  0.0700719  -0.14328538  0.01734747 -0.07486184  0.06188094 -0.05263818
 -0.03051992 -0.0421365   0.09651129]",0.01623356035515417,0.016385650634765624,2.4151239209494308e-05,0.011365509033203125,"[-0.35270733 -0.35315871 -0.38344694 -0.39518862 -0.4093825  -0.4302691
 -0.44945316 -0.49473444 -0.59568139  0.05067463  0.0676955   0.10092199
  0.16487495  0.16243489  0.17984014  0.16698593  0.1371143   0.1850987 ]",6.25,"[-0.16560605  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.5761541 0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[14.37333142  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
198,"[ 0.27444075 -0.15093765  0.13966332 -0.06270381  0.09985739 -0.07128167
  0.09856007 -0.04612695  0.10126763 -0.02953757  0.0408362  -0.07928811
  0.00333083 -0.10413637  0.00900355]",0.014635262049184878,0.01078643798828125,1.4154141380982763e-05,0.00783538818359375,"[-0.30160653 -0.29484656 -0.33253686 -0.37323287 -0.38907557 -0.40164318
 -0.42986652 -0.4867637  -0.60957188  0.05678133  0.0896517   0.09094742
  0.11567841  0.14007345  0.12292886  0.11751903  0.13067418  0.19820407]",5.9375,"[-0.06526734  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.54679824 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[15.81991649  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
199,"[ 0.2771147  -0.1210102   0.15763768 -0.06246042  0.11345832 -0.00675954
  0.11736409 -0.01543769  0.11502997 -0.02362422  0.11256664  0.06101555
  0.11385502 -0.0860986  -0.06147327]",0.013657024560250563,0.00979766845703125,2.0347169304372554e-05,0.007088470458984375,"[-0.24928962 -0.28304556 -0.34808396 -0.3675987  -0.3848864  -0.40813624
 -0.43570151 -0.47249449 -0.57811386  0.05917332  0.11985484  0.10695993
  0.15446961  0.14461041  0.15754586  0.14692214  0.14341633  0.18765049]",5.0,"[0.00686306 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.48355047 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[18.90377485  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",1
200,"[-0.05305296  0.14536452  0.04526286 -0.02479212 -0.08877703  0.03161266
 -0.0151305  -0.0275651  -0.01991258 -0.04794487 -0.07899447 -0.07763279
 -0.05833656 -0.10203083 -0.0411698 ]",0.026500291362954776,0.006707000732421875,3.50158689627477e-05,0.00716552734375,"[-0.35379912 -0.29705018 -0.30344529 -0.33550604 -0.36239745 -0.38803718
 -0.38258256 -0.39817676 -0.409608    0.07789238  0.18216901  0.13291099
  0.13645716  0.15120618  0.1191458   0.11475859  0.09684172  0.10056728]",4.6875,"[0.05067918 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.56703691 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[14.58389734  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",2
201,"[-0.08358957  0.0042389   0.094819    0.02994327 -0.01241931  0.027843
 -0.00716584 -0.02528019 -0.02188932 -0.05679757 -0.02720696 -0.05453155
 -0.04387135 -0.03674853 -0.04282005]",0.026812955839578,0.02311553955078125,5.557494281400836e-05,0.013541412353515626,"[-0.35034544 -0.25182906 -0.27785253 -0.30599287 -0.32492495 -0.33831099
 -0.34008423 -0.36358516 -0.39129532  0.12667805  0.1124615   0.12095643
  0.1045963   0.11618665  0.11304126  0.10777641  0.09822884  0.09082656]",4.0625,"[0.08107464 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.54555518 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[16.47092638  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",2
202,"[ 0.00509325  0.10387881  0.0353535  -0.00602558 -0.07455178 -0.04179193
 -0.06029697 -0.07254758  0.00369916 -0.04195378  0.00677497 -0.01841994
  0.0004284  -0.03880278 -0.02872531]",0.024054916432030404,0.014404296875,4.038822926834268e-05,0.009947040264423076,"[-0.33501382 -0.29317708 -0.3183225  -0.34088695 -0.374072   -0.38541423
 -0.39363039 -0.41677732 -0.43874944  0.06851789  0.0973979   0.12122224
  0.16390354  0.14144608  0.1153415   0.10155303  0.09920674  0.10392802]",4.461538461538462,"[0.12338464 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.55395312 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[13.11767541  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",2
203,"[ 0.17272008 -0.0670532   0.11437844 -0.01060101 -0.07110327 -0.00715449
 -0.00404134 -0.05636331 -0.00622046 -0.0614485  -0.01386893 -0.05536698
 -0.06528947 -0.02644928 -0.02954294]",0.01701813237815945,0.012471771240234375,3.800639908401042e-05,0.008219146728515625,"[-0.36944646 -0.29666829 -0.29232905 -0.33813164 -0.35727892 -0.37756237
 -0.37457659 -0.42661486 -0.46334635  0.12709549  0.1380981   0.13495575
  0.14408302  0.14712945  0.13415901  0.11920485  0.1249456   0.10629355]",5.15625,"[0.09784795 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.53102594 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[15.12020983  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",2
204,"[-0.10206425  0.05985131  0.07682636 -0.04619663 -0.00682048  0.03115675
  0.01331945 -0.01908324 -0.02614817 -0.06101294 -0.0439634  -0.05941943
 -0.01100409 -0.04377225 -0.02181191]",0.027736733542165954,0.020253753662109374,4.9356824190843056e-05,0.01260223388671875,"[-0.34356111 -0.25663703 -0.28758816 -0.32208942 -0.32863436 -0.35668583
 -0.35000537 -0.36447439 -0.40006821  0.09619987  0.1121329   0.10806349
  0.12295845  0.12708392  0.1086512   0.09731694  0.09351247  0.09512694]",5.15625,"[0.09092804 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[0.55425441 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[15.20575432  0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",2
